,Data da Ocorência,Endereço,Bairro,Hora da Chamada,Tipo de Ocorrência,Localização
0,01/01/21,RUA PROFESSOR VERGÍLIO GUEDES  1136,PONTA GROSSA,0:22,AMEAÇA,
1,01/01/21,RUA ARTHUR CHARLES DORVILIA  ,JATIÚCA,0:56,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
2,01/01/21,RUA FIRMINO VASCONCELOS  ,PAJUÇARA,0:59,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6647487, -35.7134688"
3,01/01/21,AV. ALVARO OTACILIO ,PONTA VERDE,1:00,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6521757, -35.699021"
4,01/01/21,RUA BOM SUCESSO ,VERGEL DO LAGO,1:26,USUÁRIO DE ENTORPECENTE,"-25.4459211, -49.1072588"
5,01/01/21,RUA SÃO LUÍS ,PONTA GROSSA,1:31,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-20.5772442, -47.8671071"
6,01/01/21,RUA SANTA FERNANDA ,JATIÚCA,1:47,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6547318, -35.7183624"
7,01/01/21,RUA SÃO JOSÉ ,JATIÚCA,1:51,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-13.0282472, -39.5971312"
8,01/01/21,RUA SANTO ANTONIO ,PONTA GROSSA,2:07,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-23.1374163, -46.4627065"
9,01/01/21,NA RUA DA MUSIQUE ,JATIÚCA,2:09,ROUBO,
10,01/01/21,RUA ALVARO OTACÍLIO ,PONTA VERDE,2:10,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-27.9010102, -50.759117835549716"
11,01/01/21,RUA DA PALMA ,VERGEL DO LAGO,2:11,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-8.0636187, -34.8802262"
12,01/01/21,RUA BALTAZAR DE MENDONÇA ,PONTA GROSSA,2:15,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6619024, -35.7573404"
13,01/01/21,QUINTO BOCAIUVA  ,PONTA DA TERRA,2:16,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-24.5846528, -48.5927067"
14,01/01/21,RUA COMENDADOR LUIZ CALHEIROS  ,LEVADA,2:32,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6585658, -35.7439302"
15,01/01/21,QUADRA 6  ,VERGEL DO LAGO,2:33,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-22.0219295, -47.87307449729679"
