Área,Dia da Semana,Data da Ocorência,Logradouro,Endereço,Bairro,Cidade,Hora (valor inteiro),Hora da Chamada,Tipo de Ocorrência
1º BPM,sexta-feira,01/01/21,"RUA PROFESSOR VERGÍLIO GUEDES  1136 , PONTA GROSSA , MACEIÓ",RUA PROFESSOR VERGÍLIO GUEDES  1136,PONTA GROSSA,MACEIÓ,0,0:22,AMEAÇA
1º BPM,sexta-feira,01/01/21,"RUA ARTHUR CHARLES DORVILIA   , JATIÚCA , MACEIÓ",RUA ARTHUR CHARLES DORVILIA  ,JATIÚCA,MACEIÓ,0,0:56,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA FIRMINO VASCONCELOS   , PAJUÇARA , MACEIÓ",RUA FIRMINO VASCONCELOS  ,PAJUÇARA,MACEIÓ,0,0:59,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"AV. ALVARO OTACILIO  , PONTA VERDE , MACEIÓ",AV. ALVARO OTACILIO ,PONTA VERDE,MACEIÓ,1,1:00,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA BOM SUCESSO  , VERGEL DO LAGO , MACEIÓ",RUA BOM SUCESSO ,VERGEL DO LAGO,MACEIÓ,1,1:26,USUÁRIO DE ENTORPECENTE
1º BPM,sexta-feira,01/01/21,"RUA SÃO LUÍS  , PONTA GROSSA , MACEIÓ",RUA SÃO LUÍS ,PONTA GROSSA,MACEIÓ,1,1:31,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA SANTA FERNANDA  , JATIÚCA , MACEIÓ",RUA SANTA FERNANDA ,JATIÚCA,MACEIÓ,1,1:47,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA SÃO JOSÉ  , JATIÚCA , MACEIÓ",RUA SÃO JOSÉ ,JATIÚCA,MACEIÓ,1,1:51,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA SANTO ANTONIO  , PONTA GROSSA , MACEIÓ",RUA SANTO ANTONIO ,PONTA GROSSA,MACEIÓ,2,2:07,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"NA RUA DA MUSIQUE  , JATIÚCA , MACEIÓ",NA RUA DA MUSIQUE ,JATIÚCA,MACEIÓ,2,2:09,ROUBO
1º BPM,sexta-feira,01/01/21,"RUA ALVARO OTACÍLIO  , PONTA VERDE , MACEIÓ",RUA ALVARO OTACÍLIO ,PONTA VERDE,MACEIÓ,2,2:10,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA DA PALMA  , VERGEL DO LAGO , MACEIÓ",RUA DA PALMA ,VERGEL DO LAGO,MACEIÓ,2,2:11,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,sexta-feira,01/01/21,"RUA BALTAZAR DE MENDONÇA  , PONTA GROSSA , MACEIÓ",RUA BALTAZAR DE MENDONÇA ,PONTA GROSSA,MACEIÓ,2,2:15,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
